,,,,,,,,,,,,
Materi,Sub Materi Semester 1,,,,,,Sub Materi Semester 2,,,,,
,Juli,Agustus,September,Oktober,November,Desember,Januari ,Februari,Maret,April,Mei,Juni
Baca Huruf Quran,Menderes Juz 23-24,Menderes Juz 23-24,Menderes Juz 23-24,Menderes Juz 23-24,Menderes Juz 23-24,Menderes Juz 23-24,Menderes Juz 25-26,Menderes Juz 25-26,Menderes Juz 25-26,Menderes Juz 25-26,Menderes Juz 25-26,Menderes Juz 25-26
Tulis Huruf Arab,Juz 4-5,Juz 4-5,Juz 4-5,Juz 4-5,K. Kanzil Ummal (1-90),K. Kanzil Ummal (1-90),Juz 5-6,Juz 5-6,K. Kanzil Umal (90 - 116),K. Kanzil Umal (90 - 116),K. Faroidh,K. Faroidh
Hafalan Surat Al Qur'an,"Menderes
1.	Surah Al-Bayyinah
2.	Surah Al-Qadr
3.	Surah Al-'Alaq
4.	Surah At-Tin
5.	Surah Al-Insyirah
6.	Surah Ad-Duha
7.	Surah Al-Lail
","Menderes
1.	Surah Al-Bayyinah
2.	Surah Al-Qadr
3.	Surah Al-'Alaq
4.	Surah At-Tin
5.	Surah Al-Insyirah
6.	Surah Ad-Duha
7.	Surah Al-Lail
","Menderes
1.	Surah Al-Bayyinah
2.	Surah Al-Qadr
3.	Surah Al-'Alaq
4.	Surah At-Tin
5.	Surah Al-Insyirah
6.	Surah Ad-Duha
7.	Surah Al-Lail
","Menderes
1.	Surah Al-Bayyinah
2.	Surah Al-Qadr
3.	Surah Al-'Alaq
4.	Surah At-Tin
5.	Surah Al-Insyirah
6.	Surah Ad-Duha
7.	Surah Al-Lail
","Menderes
1.	Surah Al-Bayyinah
2.	Surah Al-Qadr
3.	Surah Al-'Alaq
4.	Surah At-Tin
5.	Surah Al-Insyirah
6.	Surah Ad-Duha
7.	Surah Al-Lail
","Menderes
1.	Surah Al-Bayyinah
2.	Surah Al-Qadr
3.	Surah Al-'Alaq
4.	Surah At-Tin
5.	Surah Al-Insyirah
6.	Surah Ad-Duha
7.	Surah Al-Lail
","Menderes
1.	Surah Asy-Syams
2.	Surah Al-Balad
3.	Surah Al-Fajr
4.	Surah Al-Gasyiyah
","Menderes
1.        Surah Asy-Syams
2.        Surah Al-Balad
3.        Surah Al-Fajr
4.        Surah Al-Gasyiyah
","Menderes
1.        Surah Asy-Syams
2.        Surah Al-Balad
3.        Surah Al-Fajr
4.        Surah Al-Gasyiyah
","Menderes
1.        Surah Asy-Syams
2.        Surah Al-Balad
3.        Surah Al-Fajr
4.        Surah Al-Gasyiyah
","Menderes
1.        Surah Asy-Syams
2.        Surah Al-Balad
3.        Surah Al-Fajr
4.        Surah Al-Gasyiyah
","Menderes
1.        Surah Asy-Syams
2.        Surah Al-Balad
3.        Surah Al-Fajr
4.        Surah Al-Gasyiyah
"
Hafalan Doa Harian,menerampilkan hafalan do'a pada jenjang sebelumnya,menerampilkan hafalan do'a pada jenjang sebelumnya,menerampilkan hafalan do'a pada jenjang sebelumnya,menerampilkan hafalan do'a pada jenjang sebelumnya,menerampilkan hafalan do'a pada jenjang sebelumnya,menerampilkan hafalan do'a pada jenjang sebelumnya,menerampilkan hafalan do'a pada jenjang sebelumnya,menerampilkan hafalan do'a pada jenjang sebelumnya,menerampilkan hafalan do'a pada jenjang sebelumnya,menerampilkan hafalan do'a pada jenjang sebelumnya,menerampilkan hafalan do'a pada jenjang sebelumnya,menerampilkan hafalan do'a pada jenjang sebelumnya
Materi dasar keagamaan,Dasar Aqidah,Pengertian Qur’an Hadits Jama’ah,Kemurnian ibadah,Pengetahuan wajibnya taat dan haromnya maksiat,Pengetahuan hukum halal-haram,Thaharah dan Sholat,Mandi Junub,"Hukum haid, mani, madzi dan wadhi","Sholat sunnah rowatib, dhuha, tahajjud, tasbih, hajat dan istikhoroh",Puasa Romadlon,Puasa Sunnah,Aurat
,"Rukun iman, rukun islam dan ihsan","Ilmu Manqul, Musnad, Muttashil",,,,,,,,Kefadholan puasa dan hal-hal yang diperbolehkan serta membatalkan puasa,Hukum Mahram,
Praktik Ibadah,Mempraktikan sholat hajat,Mempraktikan sholat hajat,Mempraktikan sholat hajat,Mempraktikan sholat istikhoroh,Mempraktikan sholat istikhoroh,Mempraktikan sholat istikhoroh,Mempraktikan sholat hajat,Mempraktikan sholat hajat,Mempraktikan sholat hajat,Mempraktikan sholat istikhoroh,Mempraktikan sholat istikhoroh,Mempraktikan sholat istikhoroh
Akhlaq,Pribadi,Pribadi,Keluarga,Keluarga,"Ulil Amri, Guru, dan Mubaligh-Mubalighot","Ulil Amri, Guru, dan Mubaligh-Mubalighot",Masyarakat,Masyarakat,Masyarakat,Lingkungan dan alam sekitar,Lingkungan dan alam sekitar,Lingkungan dan alam sekitar
Adab/ Tatakrama,Ta'dhim dan berbuat baik kepada orang tua,Menghormati guru dan mubaligh-mubalighot,Bergaul dengan teman,Ketika Di Masjid,Terhadap Lingkungan Dan Alam Sekitar,Bertamu/Diajak Bertamu Dan Kedatangan Tamu,Berpakaian,Ketika Menguap,Terhadap Kerabat,Tata krama bersepeda,Tata krama mencari ilmu,Dalam bermasyarakat
,Menghormati yang lebih tua dan menyayangi yang muda,,,Ketika Di Tempat Pengajian Dan Sekolah,Terhadap Ulil Amri,,Tidur,Ketika Bersin,Terhadap Tetangga,Tata krama ketika makan bersama,Dalam kehidupan berumah tangga,Dalam lingkungan kerja
Mandiri,Kemandirian pribadi,Dalam Keluarga,Kemandirian dalam keluarga,Keterampilan Generus Putra,Keterampilan Generus Putri,Keterampilan Generus Putri,Kemandirian pribadi,Dalam Keluarga,Kemandirian dalam keluarga,Keterampilan Generus Putra,Keterampilan Generus Putri,Keterampilan Generus Putri
