,,,,,,,,,,,,
Materi,Sub Materi Semester 1,,,,,,Sub Materi Semester 2,,,,,
,Juli,Agustus,September,Oktober,November,Desember,Januari ,Februari,Maret,April,Mei,Juni
Baca Huruf Quran,Menderes Harian,Menderes Harian,Menderes Harian,Menderes Harian,Menderes Harian,Menderes Harian,Menderes Harian,Menderes Harian,Menderes Harian,Menderes Harian,Menderes Harian,Menderes Harian
Tulis Huruf Arab,Makna Juz 10,Makna Juz10,Makna Juz 11,Makna Juz 11,K. Ahkam,K. Ahkam,Juz 11,Juz 12,Juz 12,Juz12,K. Jihad,K. Jihad
Hafalan Surat Al Qur'an,Surat Al Mu’minun 1-11,Surat Al Mu’minun 1-11,Dalil 6 Thobiat Luhur 1,Dalil 6 Thobiat Luhur 1,Dalil Wajibnya Berjama’ah 3,Dalil Wajibnya Berjama’ah 3,Surat Al Mu’minun 115-118,Surat Al Mu’minun 115-118,Surat Al Kahfi 1-10,Surat Al Kahfi 1-10,Dalil 5 Syarat Kerukunan 1,Dalil 5 Syarat Kerukunan 1
Hafalan Doa Harian,menerampilkan hafalan do'a pada jenjang sebelumnya,menerampilkan hafalan do'a pada jenjang sebelumnya,menerampilkan hafalan do'a pada jenjang sebelumnya,menerampilkan hafalan do'a pada jenjang sebelumnya,menerampilkan hafalan do'a pada jenjang sebelumnya,menerampilkan hafalan do'a pada jenjang sebelumnya,menerampilkan hafalan do'a pada jenjang sebelumnya,menerampilkan hafalan do'a pada jenjang sebelumnya,menerampilkan hafalan do'a pada jenjang sebelumnya,menerampilkan hafalan do'a pada jenjang sebelumnya,menerampilkan hafalan do'a pada jenjang sebelumnya,menerampilkan hafalan do'a pada jenjang sebelumnya
Materi dasar keagamaan,Dasar Aqidah,Pengertian Qur’an Hadits Jama’ah,Kemurnian ibadah,Pengetahuan wajibnya taat dan haromnya maksiat,Pengetahuan hukum halal-haram,Thaharah dan Sholat,Mandi Junub,"Hukum haid, mani, madzi dan wadhi","Sholat sunnah rowatib, dhuha, tahajjud dan tasbih",Puasa Romadlon,Puasa Sunnah,Aurat
,"Rukun iman, rukun islam dan ihsan","Ilmu Manqul, Musnad, Muttashil",,,,,,,,Kefadholan puasa dan hal-hal yang diperbolehkan serta membatalkan puasa,Hukum Mahram,
Praktik Ibadah,Mempraktikkan puasa sunah,Mempraktikkan puasa sunah,Mempraktikkan puasa sunah,Mempraktikkan doa-doa yang telah dihafal,Mempraktikkan doa-doa yang telah dihafal,Mempraktikkan doa-doa yang telah dihafal,Mempraktikkan puasa sunah,Mempraktikkan puasa sunah,Mempraktikkan puasa sunah,Mempraktikkan doa-doa yang telah dihafal,Mempraktikkan doa-doa yang telah dihafal,Mempraktikkan doa-doa yang telah dihafal
Akhlaq,Pribadi,Pribadi,Keluarga,Keluarga,"Ulil Amri, Guru, dan Mubaligh-Mubalighot","Ulil Amri, Guru, dan Mubaligh-Mubalighot",Masyarakat,Masyarakat,Masyarakat,Lingkungan dan alam sekitar,Lingkungan dan alam sekitar,Lingkungan dan alam sekitar
Adab/ Tatakrama,Ta'dhim dan berbuat baik kepada orang tua,Menghormati guru dan mubaligh-mubalighot,Bergaul dengan teman,Ketika Di Masjid,Terhadap Lingkungan Dan Alam Sekitar,Bertamu/Diajak Bertamu Dan Kedatangan Tamu,Berpakaian,Ketika Menguap,Terhadap Kerabat,Tata krama bersepeda,Tata krama ketika makan bersama,Tata krama mencari ilmu
,Menghormati yang lebih tua dan menyayangi yang muda,,,Ketika Di Tempat Pengajian Dan Sekolah,Terhadap Ulil Amri,,Tidur,Ketika Bersin,Terhadap Tetangga,,,
Mandiri,Kemandirian pribadi,Dalam Keluarga,Kemandirian dalam keluarga,Keterampilan Generus Putra,Keterampilan Generus Putri,Keterampilan Generus Putri,Kemandirian pribadi,Dalam Keluarga,Kemandirian dalam keluarga,Keterampilan Generus Putra,Keterampilan Generus Putri,Keterampilan Generus Putri
