kelas,kategori,target_bulan,materi
Pra Nikah 2,Baca Huruf Quran,Juli - Desember,Menderes Juz 23-24
Pra Nikah 2,Baca Huruf Quran,Januari - Juni,Menderes Juz 25-26
Pra Nikah 2,Tulis Huruf Arab,Juli - Oktober,Juz 4-5
Pra Nikah 2,Tulis Huruf Arab,November - Desember,K. Kanzil Ummal (1-90)
Pra Nikah 2,Tulis Huruf Arab,Januari - Februari,Juz 5-6
Pra Nikah 2,Tulis Huruf Arab,Maret - April,K. Kanzil Umal (90 - 116)
Pra Nikah 2,Tulis Huruf Arab,Mei - Juni,K. Faroidh
Pra Nikah 2,Hafalan Surat Al Qur'an,Juli - Desember,Menderes 1. Surah Al-Bayyinah 2. Surah Al-Qadr 3. Surah Al-'Alaq 4. Surah At-Tin 5. Surah Al-Insyirah 6. Surah Ad-Duha 7. Surah Al-Lail
Pra Nikah 2,Hafalan Surat Al Qur'an,Januari - Juni,Menderes 1. Surah Asy-Syams 2. Surah Al-Balad 3. Surah Al-Fajr 4. Surah Al-Gasyiyah
Pra Nikah 2,Hafalan Doa Harian,Juli - Juni,menerampilkan hafalan do'a pada jenjang sebelumnya
Pra Nikah 2,Materi Dasar Keagamaan,Juli,Dasar Aqidah
Pra Nikah 2,Materi Dasar Keagamaan,Agustus,Pengertian Qur’an Hadits Jama’ah
Pra Nikah 2,Materi Dasar Keagamaan,September,Kemurnian ibadah
Pra Nikah 2,Materi Dasar Keagamaan,Oktober,Pengetahuan wajibnya taat dan haromnya maksiat
Pra Nikah 2,Materi Dasar Keagamaan,November,Pengetahuan hukum halal-haram
Pra Nikah 2,Materi Dasar Keagamaan,Desember,Thaharah dan Sholat
Pra Nikah 2,Materi Dasar Keagamaan,Januari,Mandi Junub
Pra Nikah 2,Materi Dasar Keagamaan,Februari,"Hukum haid, mani, madzi dan wadhi"
Pra Nikah 2,Materi Dasar Keagamaan,Maret,"Sholat sunnah rowatib, dhuha, tahajjud, tasbih, hajat dan istikhoroh"
Pra Nikah 2,Materi Dasar Keagamaan,April,Puasa Romadlon
Pra Nikah 2,Materi Dasar Keagamaan,Mei,Puasa Sunnah
Pra Nikah 2,Materi Dasar Keagamaan,Juni,Aurat
Pra Nikah 2,Materi Dasar Keagamaan,Juli,"Rukun iman, rukun islam dan ihsan"
Pra Nikah 2,Materi Dasar Keagamaan,Agustus,"Ilmu Manqul, Musnad, Muttashil"
Pra Nikah 2,Materi Dasar Keagamaan,April,Kefadholan puasa dan hal-hal yang diperbolehkan serta membatalkan puasa
Pra Nikah 2,Materi Dasar Keagamaan,Mei,Hukum Mahram
Pra Nikah 2,Praktik Ibadah,Juli - September,Mempraktikan sholat hajat
Pra Nikah 2,Praktik Ibadah,Oktober - Desember,Mempraktikan sholat istikhoroh
Pra Nikah 2,Praktik Ibadah,Januari - Maret,Mempraktikan sholat hajat
Pra Nikah 2,Praktik Ibadah,April - Juni,Mempraktikan sholat istikhoroh
Pra Nikah 2,Akhlaq,Juli - Agustus,Pribadi
Pra Nikah 2,Akhlaq,September - Oktober,Keluarga
Pra Nikah 2,Akhlaq,November - Desember,"Ulil Amri, Guru, dan Mubaligh-Mubalighot"
Pra Nikah 2,Akhlaq,Januari - Maret,Masyarakat
Pra Nikah 2,Akhlaq,April - Juni,Lingkungan dan alam sekitar
Pra Nikah 2,Adab/ Tatakrama,Juli,Ta'dhim dan berbuat baik kepada orang tua
Pra Nikah 2,Adab/ Tatakrama,Agustus,Menghormati guru dan mubaligh-mubalighot
Pra Nikah 2,Adab/ Tatakrama,September,Bergaul dengan teman
Pra Nikah 2,Adab/ Tatakrama,Oktober,Ketika Di Masjid
Pra Nikah 2,Adab/ Tatakrama,November,Terhadap Lingkungan Dan Alam Sekitar
Pra Nikah 2,Adab/ Tatakrama,Desember,Bertamu/Diajak Bertamu Dan Kedatangan Tamu
Pra Nikah 2,Adab/ Tatakrama,Januari,Berpakaian
Pra Nikah 2,Adab/ Tatakrama,Februari,Ketika Menguap
Pra Nikah 2,Adab/ Tatakrama,Maret,Terhadap Kerabat
Pra Nikah 2,Adab/ Tatakrama,April,Tata krama bersepeda
Pra Nikah 2,Adab/ Tatakrama,Mei,Tata krama mencari ilmu
Pra Nikah 2,Adab/ Tatakrama,Juni,Dalam bermasyarakat
Pra Nikah 2,Adab/ Tatakrama,Juli,Menghormati yang lebih tua dan menyayangi yang muda
Pra Nikah 2,Adab/ Tatakrama,Oktober,Ketika Di Tempat Pengajian Dan Sekolah
Pra Nikah 2,Adab/ Tatakrama,November,Terhadap Ulil Amri
Pra Nikah 2,Adab/ Tatakrama,Januari,Tidur
Pra Nikah 2,Adab/ Tatakrama,Februari,Ketika Bersin
Pra Nikah 2,Adab/ Tatakrama,Maret,Terhadap Tetangga
Pra Nikah 2,Adab/ Tatakrama,April,Tata krama ketika makan bersama
Pra Nikah 2,Adab/ Tatakrama,Mei,Dalam kehidupan berumah tangga
Pra Nikah 2,Adab/ Tatakrama,Juni,Dalam lingkungan kerja
Pra Nikah 2,Mandiri,Juli,Kemandirian pribadi
Pra Nikah 2,Mandiri,Agustus,Dalam Keluarga
Pra Nikah 2,Mandiri,September,Kemandirian dalam keluarga
Pra Nikah 2,Mandiri,Oktober,Keterampilan Generus Putra
Pra Nikah 2,Mandiri,November - Desember,Keterampilan Generus Putri
Pra Nikah 2,Mandiri,Januari,Kemandirian pribadi
Pra Nikah 2,Mandiri,Februari,Dalam Keluarga
Pra Nikah 2,Mandiri,Maret,Kemandirian dalam keluarga
Pra Nikah 2,Mandiri,April,Keterampilan Generus Putra
Pra Nikah 2,Mandiri,Mei - Juni,Keterampilan Generus Putri
