kelas,kategori,target_bulan,materi
SMA 3,Baca Huruf Quran,Juli - Juni,Menderes Harian
SMA 3,Tulis Huruf Arab,Juli,Makna Juz 13
SMA 3,Tulis Huruf Arab,Agustus,Makna Juz13
SMA 3,Tulis Huruf Arab,September - Oktober,Makna Juz 14
SMA 3,Tulis Huruf Arab,November - Desember,K. Manasik Waljihad
SMA 3,Tulis Huruf Arab,Januari,Juz 14
SMA 3,Tulis Huruf Arab,Februari - Maret,Juz 15
SMA 3,Tulis Huruf Arab,April,Juz15
SMA 3,Tulis Huruf Arab,Mei - Juni,K. Shoum
SMA 3,Hafalan Surat Al Qur'an,Juli - Agustus,Menderes hafalan Qur’an
SMA 3,Hafalan Surat Al Qur'an,September - Desember,Dalil 6 Thobiat Luhur 2
SMA 3,Hafalan Surat Al Qur'an,Januari - Februari,Menderes hafalan Qur’an
SMA 3,Hafalan Surat Al Qur'an,Maret - April,Dalil Wajibnya Berjama’ah 4
SMA 3,Hafalan Surat Al Qur'an,Mei - Juni,Dalil 5 Syarat Kerukunan 2
SMA 3,Hafalan Doa Harian,Juli - Juni,menerampilkan hafalan do'a pada jenjang sebelumnya
SMA 3,Materi Dasar Keagamaan,Juli,Dasar Aqidah
SMA 3,Materi Dasar Keagamaan,Agustus,Pengertian Qur’an Hadits Jama’ah
SMA 3,Materi Dasar Keagamaan,September,Kemurnian ibadah
SMA 3,Materi Dasar Keagamaan,Oktober,Pengetahuan wajibnya taat dan haromnya maksiat
SMA 3,Materi Dasar Keagamaan,November,Pengetahuan hukum halal-haram
SMA 3,Materi Dasar Keagamaan,Desember,Thaharah dan Sholat
SMA 3,Materi Dasar Keagamaan,Januari,Mandi Junub
SMA 3,Materi Dasar Keagamaan,Februari,"Hukum haid, mani, madzi dan wadhi"
SMA 3,Materi Dasar Keagamaan,Maret,"Sholat sunnah rowatib, dhuha, tahajjud dan tasbih"
SMA 3,Materi Dasar Keagamaan,April,Puasa Romadlon
SMA 3,Materi Dasar Keagamaan,Mei,Puasa Sunnah
SMA 3,Materi Dasar Keagamaan,Juni,Aurat
SMA 3,Materi Dasar Keagamaan,Juli,"Rukun iman, rukun islam dan ihsan"
SMA 3,Materi Dasar Keagamaan,Agustus,"Ilmu Manqul, Musnad, Muttashil"
SMA 3,Materi Dasar Keagamaan,April,Kefadholan puasa dan hal-hal yang diperbolehkan serta membatalkan puasa
SMA 3,Materi Dasar Keagamaan,Mei,Hukum Mahram
SMA 3,Praktik Ibadah,Juli - September,Mempraktikkan puasa sunah
SMA 3,Praktik Ibadah,Oktober - Desember,Mempraktikkan doa-doa yang telah dihafal
SMA 3,Praktik Ibadah,Januari - Maret,Mempraktikkan puasa sunah
SMA 3,Praktik Ibadah,April - Juni,Mempraktikkan doa-doa yang telah dihafal
SMA 3,Akhlaq,Juli - Agustus,Pribadi
SMA 3,Akhlaq,September - Oktober,Keluarga
SMA 3,Akhlaq,November - Desember,"Ulil Amri, Guru, dan Mubaligh-Mubalighot"
SMA 3,Akhlaq,Januari - Maret,Masyarakat
SMA 3,Akhlaq,April - Juni,Lingkungan dan alam sekitar
SMA 3,Adab/ Tatakrama,Juli,Ta'dhim dan berbuat baik kepada orang tua
SMA 3,Adab/ Tatakrama,Agustus,Menghormati guru dan mubaligh-mubalighot
SMA 3,Adab/ Tatakrama,September,Bergaul dengan teman
SMA 3,Adab/ Tatakrama,Oktober,Ketika Di Masjid
SMA 3,Adab/ Tatakrama,November,Terhadap Lingkungan Dan Alam Sekitar
SMA 3,Adab/ Tatakrama,Desember,Bertamu/Diajak Bertamu Dan Kedatangan Tamu
SMA 3,Adab/ Tatakrama,Januari,Berpakaian
SMA 3,Adab/ Tatakrama,Februari,Ketika Menguap
SMA 3,Adab/ Tatakrama,Maret,Terhadap Kerabat
SMA 3,Adab/ Tatakrama,April,Tata krama bersepeda
SMA 3,Adab/ Tatakrama,Mei,Tata krama ketika makan bersama
SMA 3,Adab/ Tatakrama,Juni,Tata krama mencari ilmu
SMA 3,Adab/ Tatakrama,Juli,Menghormati yang lebih tua dan menyayangi yang muda
SMA 3,Adab/ Tatakrama,Oktober,Ketika Di Tempat Pengajian Dan Sekolah
SMA 3,Adab/ Tatakrama,November,Terhadap Ulil Amri
SMA 3,Adab/ Tatakrama,Januari,Tidur
SMA 3,Adab/ Tatakrama,Februari,Ketika Bersin
SMA 3,Adab/ Tatakrama,Maret,Terhadap Tetangga
SMA 3,Mandiri,Juli,Kemandirian pribadi
SMA 3,Mandiri,Agustus,Dalam Keluarga
SMA 3,Mandiri,September,Kemandirian dalam keluarga
SMA 3,Mandiri,Oktober,Keterampilan Generus Putra
SMA 3,Mandiri,November - Desember,Keterampilan Generus Putri
SMA 3,Mandiri,Januari,Kemandirian pribadi
SMA 3,Mandiri,Februari,Dalam Keluarga
SMA 3,Mandiri,Maret,Kemandirian dalam keluarga
SMA 3,Mandiri,April,Keterampilan Generus Putra
SMA 3,Mandiri,Mei - Juni,Keterampilan Generus Putri
