kelas,kategori,target_bulan,materi
Kelas Paud,Hafalan Surat Al Qur'an,Juli,Surat Al Fatihah
Kelas Paud,Hafalan Surat Al Qur'an,Agustus,Surat An Nas
Kelas Paud,Hafalan Surat Al Qur'an,September - Oktober,Surat Al Falaq
Kelas Paud,Hafalan Surat Al Qur'an,November - Desember,Surat Al Ikhlas
Kelas Paud,Hafalan Surat Al Qur'an,Januari - Februari,Surat Al Lahab
Kelas Paud,Hafalan Surat Al Qur'an,Maret - April,Surat An Nasr
Kelas Paud,Hafalan Surat Al Qur'an,Mei - Juni,Surat Al Kafirun
Kelas Paud,Akhlaq,Juli - Agustus,Pribadi
Kelas Paud,Akhlaq,September - Oktober,Keluarga
Kelas Paud,Akhlaq,November - Desember,"Ulil Amri, Guru, dan Mubaligh-Mubalighot"
Kelas Paud,Akhlaq,Januari - Maret,Masyarakat
Kelas Paud,Akhlaq,April - Juni,Lingkungan dan alam sekitar
Kelas Paud,Materi Dasar Keagamaan,Juli - September,Dasar Aqidah
Kelas Paud,Materi Dasar Keagamaan,Oktober - Desember,"Rukun iman, rukun islam dan ihsan"
Kelas Paud,Materi Dasar Keagamaan,Januari - Maret,Pengertian Qu'an Hadis Jama'ah
Kelas Paud,Materi Dasar Keagamaan,April - Juni,Thoharoh dan Sholat
Kelas Paud,Hafalan Doa Harian,Juli,Asmaul Husna 1 - 20
Kelas Paud,Hafalan Doa Harian,Juli - Agustus,Asmaul Husna 1 - 20
Kelas Paud,Hafalan Doa Harian,September - Oktober,Do'a akan dan bangun tidur
Kelas Paud,Hafalan Doa Harian,November - Desember,Do'a akan dan selesai makan
Kelas Paud,Hafalan Doa Harian,Januari - Februari,Doa Kebaikan Dunia dan Akhirat
Kelas Paud,Hafalan Doa Harian,Maret - April,Do'a untuk kedua orang tua
Kelas Paud,Hafalan Doa Harian,Mei - Juni,Do'a masuk dan keluar WC
Kelas Paud,Adab/ Tatakrama,Juli - Agustus,Ta'dhim dan berbuat baik kepada orang tua
Kelas Paud,Adab/ Tatakrama,September - Oktober,Menghormati yang lebih tua dan menyayangi yang muda
Kelas Paud,Adab/ Tatakrama,November,Menghormati guru dan mubaligh-mubalighot
Kelas Paud,Adab/ Tatakrama,Desember,Bergaul dengan teman
Kelas Paud,Adab/ Tatakrama,Januari - Februari,Tata krama ketika di masjid
Kelas Paud,Adab/ Tatakrama,Maret - April,Tata krama di tempat pengajian dan sekolah
Kelas Paud,Adab/ Tatakrama,Mei - Juni,Tata krama terhadap lingkungan dan alam sekitar
Kelas Paud,Mandiri,Juli - September,Kemandirian pribadi
Kelas Paud,Mandiri,Oktober - Desember,Kemandirian dalam keluarga
Kelas Paud,Mandiri,Januari - Juni,Kemandirian dalam lingkungan Jama'ah dan sekolah
Kelas Paud,Praktik Ibadah,Juli - Agustus,Praktik Wudhu
Kelas Paud,Tulis Huruf Arab,Juli - Desember,Menulis Huruf tunggal Hijaiyah
Kelas Paud,Praktik Ibadah,September - Oktober,Praktik Sholat
Kelas Paud,Praktik Ibadah,November - Desember,Praktik menjaga Kesucian
Kelas Paud,Praktik Ibadah,Januari - Februari,Praktik buang air kecil dan besar
Kelas Paud,Tulis Huruf Arab,Januari - Juni,Menulis Angka Arab
Kelas Paud,Praktik Ibadah,Maret - April,Praktik mensucikan najis setelah buang air
Kelas Paud,Praktik Ibadah,Mei - Juni,Praktik doa-doa yang dihafal
Kelas 1,Hafalan Surat Al Qur'an,Juli - Agustus,Surat Al Kautsar
Kelas 1,Hafalan Surat Al Qur'an,September - Oktober,Surat Al Maun
Kelas 1,Hafalan Surat Al Qur'an,November - Desember,Surat Quroisy
Kelas 1,Hafalan Surat Al Qur'an,Januari - Februari,Surat Al Fiil
Kelas 1,Hafalan Surat Al Qur'an,Maret - April,Surat Al Humazah
Kelas 1,Hafalan Surat Al Qur'an,Mei - Juni,Surat Al Asr
Kelas 1,Akhlaq,Juli - Agustus,Pribadi
Kelas 1,Akhlaq,September - Oktober,Keluarga
Kelas 1,Akhlaq,November - Desember,"Ulil Amri, Guru, dan Mubaligh-Mubalighot"
Kelas 1,Akhlaq,Januari - Maret,Masyarakat
Kelas 1,Akhlaq,April - Juni,Lingkungan dan alam sekitar
Kelas 1,Materi Dasar Keagamaan,Juli,Dasar Aqidah
Kelas 1,Materi Dasar Keagamaan,Agustus,"Rukun iman, rukun islam dan ihsan"
Kelas 1,Materi Dasar Keagamaan,September - Oktober,Pengetahuan wajibnya taat dan haromnya maksiat
Kelas 1,Materi Dasar Keagamaan,November - Desember,Pengetahuan halal dan harom
Kelas 1,Materi Dasar Keagamaan,Januari - Februari,Pengertian Qu'an Hadis Jama'ah
Kelas 1,Materi Dasar Keagamaan,Maret - April,Thoharoh dan Sholat
Kelas 1,Materi Dasar Keagamaan,Mei - Juni,Puasa Romadhon
Kelas 1,Hafalan Doa Harian,Juli,Asmaul Husna 1 - 30
Kelas 1,Hafalan Doa Harian,Juli,Asmaul Husna 1 - 30
Kelas 1,Hafalan Doa Harian,Agustus,Do'a dan dzikir sesudah sholat
Kelas 1,Hafalan Doa Harian,September,Do'a ketetapan iman
Kelas 1,Hafalan Doa Harian,Oktober,Do'a minta ilmu yang manfaat
Kelas 1,Hafalan Doa Harian,November,Do'a minta ilham yang baik
