Materi,Jan,Feb,Mar,Apr,Mei,Jun,Ada Nilai?
Asmaul Husna 1-40,✓,✓,,,,,✓
Kemandirian dalam lingkungan,✓,✓,✓,✓,✓,✓,✓
Masyarakat,✓,✓,✓,,,,✓
Menulis huruf sambung,✓,✓,✓,✓,✓,✓,✓
Pengertian Quran Hadis,✓,✓,,,,,✓
Praktik buang air kecil & besar,✓,,,,,,✓
Surat Al Fiil,✓,✓,,,,,✓
Tata krama di masjid,✓,,,,,,✓
Praktik mensucikan najis,,✓,✓,,,,✗
Tata krama tempat pengajian,,✓,,,,,✗
Do'a pagi dan sore,,,✓,,,,✗
Surat Al Humazah,,,✓,✓,,,✗
Tata krama terhadap lingkungan,,,✓,,,,✗
Thoharoh dan Sholat,,,✓,✓,,,✗
Do'a masuk dan keluar masjid,,,,✓,,,✗
Lingkungan dan alam sekitar,,,,✓,✓,✓,✓
Praktik Sholat berjamaah,,,,✓,✓,,✓
Tata krama tidur,,,,✓,,,✗
Do'a memakai pakaian,,,,,✓,,✓
Puasa Ramadhan,,,,,✓,✓,✓
Surat Al Asr,,,,,✓,✓,✓
Do'a ketika berbuka puasa,,,,,,✓,✗
Praktik doa-doa yang dihafal,,,,,,✓,✗
Tata krama ketika bersin,,,,,,✓,✗
