kelas,kategori,target_bulan,materi
Kelas Paud,Hafalan Doa Harian,Juli - Agustus,Asmaul Husna 1 - 20
Kelas 1,Hafalan Doa Harian,Juli,Asmaul Husna 1 - 30
Kelas 1,Hafalan Doa Harian,Januari - Februari,Asmaul Husna 1 - 40
Kelas 2,Hafalan Doa Harian,Juli - Agustus,Asmaul Husna 1 - 50
Kelas 2,Hafalan Doa Harian,Januari - Februari,Asmaul Husna 1 - 60
Kelas 3,Hafalan Doa Harian,Juli - Agustus,Asmaul Husna 1 - 70
Kelas 3,Hafalan Doa Harian,Januari - Februari,Asmaul Husna 1 - 80
Kelas 4,Hafalan Doa Harian,Juli - Agustus,Asmaul Husna 1 - 90
Kelas 4,Hafalan Doa Harian,Januari - Februari,Asmaul Husna 1 - 99
Kelas 4,Hafalan Doa Harian,Maret,Do'a agar bisa bersyukur
Kelas Paud,Hafalan Doa Harian,September - Oktober,Do'a akan dan bangun tidur
Kelas Paud,Hafalan Doa Harian,November - Desember,Do'a akan dan selesai makan
Kelas 4,Hafalan Doa Harian,April,"Do'a berlindung dari jeleknya pendengaran, ucapan, dll"
Kelas 4,Hafalan Doa Harian,November - Desember,Do'a berlindung dari sifat munafiq
Kelas 4,Hafalan Doa Harian,Mei - Juni,Do'a berlindung dari sifat pelit dan penakut
Kelas 3,Hafalan Doa Harian,Juni,Do'a berlindung dari siksa kubur
Kelas 3,Hafalan Doa Harian,April - Mei,Do'a berlindung dari syirik
Kelas 6,Hafalan Doa Harian,November,Do'a bertempat di tempat yang baru
Kelas 1,Hafalan Doa Harian,Agustus,Do'a dan dzikir sesudah sholat
Kelas Paud,Hafalan Doa Harian,Januari - Februari,Do'a kebaikan dunia dan akhirat
Kelas 1,Hafalan Doa Harian,September,Do'a ketetapan iman
Kelas 2,Hafalan Doa Harian,Mei - Juni,Do'a ketika ada angin kencang
Kelas 5,Hafalan Doa Harian,Januari - Maret,Do'a ketika ada petir
Kelas 1,Hafalan Doa Harian,Juni,Do'a ketika berbuka puasa
Kelas 2,Hafalan Doa Harian,Maret - April,Do'a ketika bersin
Kelas 6,Hafalan Doa Harian,Desember,Do'a ketika mimpi baik dan jelek
Kelas 6,Hafalan Doa Harian,September - Oktober,Do'a ketika takut pada orang kafir
Kelas 6,Hafalan Doa Harian,Mei - Juni,Do'a maskumambang sapu jagat
Kelas 1,Hafalan Doa Harian,April,Do'a masuk dan keluar masjid
Kelas 1,Hafalan Doa Harian,Desember,Do'a masuk dan keluar rumah
Kelas Paud,Hafalan Doa Harian,Mei - Juni,Do'a masuk dan keluar WC
Kelas 3,Hafalan Doa Harian,Maret,Do'a masuk pasar
Kelas 1,Hafalan Doa Harian,Mei,Do'a memakai pakaian
Kelas 3,Hafalan Doa Harian,Oktober,Do'a memakai pakaian baru
Kelas 3,Hafalan Doa Harian,September,Do'a menjenguk orang sakit
Kelas 5,Hafalan Doa Harian,November - Desember,Do'a minta 10 kebaikan
Kelas 5,Hafalan Doa Harian,Juli - Agustus,Do'a minta dimudahkan segala urusan
Kelas 5,Hafalan Doa Harian,September - Oktober,Do'a minta dipilihkan sesuatu yang baik
Kelas 1,Hafalan Doa Harian,November,Do'a minta ilham yang baik
Kelas 1,Hafalan Doa Harian,Oktober,Do'a minta ilmu yang manfaat
Kelas 6,Hafalan Doa Harian,Januari - Februari,Do'a minta surga firdaus
Kelas 2,Hafalan Doa Harian,September - Oktober,Do'a mohon kesabaran
Kelas 2,Hafalan Doa Harian,November - Desember,Do'a mohon kesehatan
Kelas 3,Hafalan Doa Harian,Desember,Do'a mohon kesehatan
Kelas 3,Hafalan Doa Harian,November,Do'a naik kendaraan
Kelas 1,Hafalan Doa Harian,Maret,Do'a pagi dan sore
Kelas 6,Hafalan Doa Harian,Maret - April,Do'a pengayoman
Kelas 5,Hafalan Doa Harian,April - Juni,Do'a perlindungan dari bencana
Kelas 6,Hafalan Doa Harian,Juli - Agustus,Do'a perlindungan dari penganiayaan
Kelas 4,Hafalan Doa Harian,September,Do'a sujud Al Qur'an
Kelas Paud,Hafalan Doa Harian,Maret - April,Do'a untuk kedua orang tua
Kelas 4,Hafalan Doa Harian,Oktober,Kumpulan do'a nabi Muhammad
Kelas 5,Hafalan Surat Al Qur'an,Juli - September,Surat Ad Dhuha
Kelas 6,Hafalan Surat Al Qur'an,Januari - Maret,Surat Al A'la
Kelas 2,Hafalan Surat Al Qur'an,Januari - Maret,Surat Al Adiyat
