No,kelas,kategori,target_bulan,materi
4,Kelas Paud,Adab/ Tatakrama,Desember,Bergaul dengan teman
10,Kelas 1,Adab/ Tatakrama,September,Bergaul dengan teman
22,Kelas 2,Adab/ Tatakrama,September,Bergaul dengan teman
3,Kelas Paud,Adab/ Tatakrama,November,Menghormati guru dan mubaligh-mubalighot
9,Kelas 1,Adab/ Tatakrama,Agustus,Menghormati guru dan mubaligh-mubalighot
21,Kelas 2,Adab/ Tatakrama,Agustus,Menghormati guru dan mubaligh-mubalighot
33,Kelas 3,Adab/ Tatakrama,Agustus,Menghormati guru dan mubaligh-mubalighot
45,Kelas 4,Adab/ Tatakrama,Agustus,Menghormati guru dan mubaligh-mubalighot
57,Kelas 5,Adab/ Tatakrama,Agustus,Menghormati guru dan mubaligh-mubalighot
69,Kelas 6,Adab/ Tatakrama,Agustus,Menghormati guru dan mubaligh-mubalighot
2,Kelas Paud,Adab/ Tatakrama,September - Oktober,Menghormati yang lebih tua dan menyayangi yang muda
1,Kelas Paud,Adab/ Tatakrama,Juli - Agustus,Ta'dhim dan berbuat baik kepada orang tua
8,Kelas 1,Adab/ Tatakrama,Juli,Ta'dhim dan berbuat baik kepada orang tua
20,Kelas 2,Adab/ Tatakrama,Juli,Ta'dhim dan berbuat baik kepada orang tua
32,Kelas 3,Adab/ Tatakrama,Juli,Ta'dhim dan berbuat baik kepada orang tua
44,Kelas 4,Adab/ Tatakrama,Juli,Ta'dhim dan berbuat baik kepada orang tua
56,Kelas 5,Adab/ Tatakrama,Juli,Ta'dhim dan berbuat baik kepada orang tua
68,Kelas 6,Adab/ Tatakrama,Juli,Ta'dhim dan berbuat baik kepada orang tua
13,Kelas 1,Adab/ Tatakrama,Desember,Tata krama berpakaian
25,Kelas 2,Adab/ Tatakrama,Desember,Tata krama berpakaian
35,Kelas 3,Adab/ Tatakrama,Oktober,Tata krama berpakaian
47,Kelas 4,Adab/ Tatakrama,Oktober,Tata krama berpakaian
59,Kelas 5,Adab/ Tatakrama,Oktober,Tata krama berpakaian
71,Kelas 6,Adab/ Tatakrama,Oktober,Tata krama berpakaian
41,Kelas 3,Adab/ Tatakrama,April,Tata krama bersepeda
53,Kelas 4,Adab/ Tatakrama,April,Tata krama bersepeda
65,Kelas 5,Adab/ Tatakrama,April,Tata krama bersepeda
77,Kelas 6,Adab/ Tatakrama,April,Tata krama bersepeda
12,Kelas 1,Adab/ Tatakrama,November,Tata krama bertamu/ diajak bertamu
24,Kelas 2,Adab/ Tatakrama,November,Tata krama bertamu/ diajak bertamu
6,Kelas Paud,Adab/ Tatakrama,Maret - April,Tata krama di tempat pengajian dan sekolah
15,Kelas 1,Adab/ Tatakrama,Februari,Tata krama di tempat pengajian dan sekolah
27,Kelas 2,Adab/ Tatakrama,Februari,Tata krama di tempat pengajian dan sekolah
19,Kelas 1,Adab/ Tatakrama,Juni,Tata krama ketika bersin
31,Kelas 2,Adab/ Tatakrama,Juni,Tata krama ketika bersin
5,Kelas Paud,Adab/ Tatakrama,Januari - Februari,Tata krama ketika di masjid
14,Kelas 1,Adab/ Tatakrama,Januari,Tata krama ketika di masjid
26,Kelas 2,Adab/ Tatakrama,Januari,Tata krama ketika di masjid
38,Kelas 3,Adab/ Tatakrama,Januari,Tata krama ketika di masjid
50,Kelas 4,Adab/ Tatakrama,Januari,Tata krama ketika di masjid
62,Kelas 5,Adab/ Tatakrama,Januari,Tata krama ketika di masjid
74,Kelas 6,Adab/ Tatakrama,Januari,Tata krama ketika di masjid
42,Kelas 3,Adab/ Tatakrama,Mei,Tata krama ketika makan bersama
54,Kelas 4,Adab/ Tatakrama,Mei,Tata krama ketika makan bersama
66,Kelas 5,Adab/ Tatakrama,Mei,Tata krama ketika makan bersama
78,Kelas 6,Adab/ Tatakrama,Mei,Tata krama ketika makan bersama
18,Kelas 1,Adab/ Tatakrama,Mei,Tata krama ketika menguap
30,Kelas 2,Adab/ Tatakrama,Mei,Tata krama ketika menguap
40,Kelas 3,Adab/ Tatakrama,Maret,Tata krama ketika menguap
52,Kelas 4,Adab/ Tatakrama,Maret,Tata krama ketika menguap
64,Kelas 5,Adab/ Tatakrama,Maret,Tata krama ketika menguap
76,Kelas 6,Adab/ Tatakrama,Maret,Tata krama ketika menguap
43,Kelas 3,Adab/ Tatakrama,Juni,Tata krama mencari ilmu
55,Kelas 4,Adab/ Tatakrama,Juni,Tata krama mencari ilmu
67,Kelas 5,Adab/ Tatakrama,Juni,Tata krama mencari ilmu
79,Kelas 6,Adab/ Tatakrama,Juni,Tata krama mencari ilmu
36,Kelas 3,Adab/ Tatakrama,November,Tata krama terhadap kerabat
48,Kelas 4,Adab/ Tatakrama,November,Tata krama terhadap kerabat
60,Kelas 5,Adab/ Tatakrama,November,Tata krama terhadap kerabat
72,Kelas 6,Adab/ Tatakrama,November,Tata krama terhadap kerabat
7,Kelas Paud,Adab/ Tatakrama,Mei - Juni,Tata krama terhadap lingkungan dan alam sekitar
16,Kelas 1,Adab/ Tatakrama,Maret,Tata krama terhadap lingkungan dan alam sekitar
28,Kelas 2,Adab/ Tatakrama,Maret,Tata krama terhadap lingkungan dan alam sekitar
39,Kelas 3,Adab/ Tatakrama,Februari,Tata krama terhadap lingkungan dan alam sekitar
51,Kelas 4,Adab/ Tatakrama,Februari,Tata krama terhadap lingkungan dan alam sekitar
63,Kelas 5,Adab/ Tatakrama,Februari,Tata krama terhadap lingkungan dan alam sekitar
75,Kelas 6,Adab/ Tatakrama,Februari,Tata krama terhadap lingkungan dan alam sekitar
37,Kelas 3,Adab/ Tatakrama,Desember,Tata krama terhadap tetangga
49,Kelas 4,Adab/ Tatakrama,Desember,Tata krama terhadap tetangga
61,Kelas 5,Adab/ Tatakrama,Desember,Tata krama terhadap tetangga
73,Kelas 6,Adab/ Tatakrama,Desember,Tata krama terhadap tetangga
11,Kelas 1,Adab/ Tatakrama,Oktober,Tata krama terhadap ulil amri
23,Kelas 2,Adab/ Tatakrama,Oktober,Tata krama terhadap ulil amri
34,Kelas 3,Adab/ Tatakrama,September,Tata krama terhadap ulil amri
46,Kelas 4,Adab/ Tatakrama,September,Tata krama terhadap ulil amri
58,Kelas 5,Adab/ Tatakrama,September,Tata krama terhadap ulil amri
70,Kelas 6,Adab/ Tatakrama,September,Tata krama terhadap ulil amri
17,Kelas 1,Adab/ Tatakrama,April,Tata krama tidur
29,Kelas 2,Adab/ Tatakrama,April,Tata krama tidur
81,Kelas Paud,Akhlaq,September - Oktober,Keluarga
86,Kelas 1,Akhlaq,September - Oktober,Keluarga
91,Kelas 2,Akhlaq,September - Oktober,Keluarga
96,Kelas 3,Akhlaq,September - Oktober,Keluarga
101,Kelas 4,Akhlaq,September - Oktober,Keluarga
106,Kelas 5,Akhlaq,September - Oktober,Keluarga
111,Kelas 6,Akhlaq,September - Oktober,Keluarga
84,Kelas Paud,Akhlaq,April - Juni,Lingkungan dan alam sekitar
89,Kelas 1,Akhlaq,April - Juni,Lingkungan dan alam sekitar
