No,kelas,kategori,target_bulan,materi
1,SMP 1,Hafalan Surat Al Qur'an,September - Oktober,3 Ayat terakhir al Hasyr
2,SMP 1,Baca Huruf Quran,Juli,Al Quran Juz 12
3,SMP 1,Baca Huruf Quran,September - Oktober,Al Quran Juz 13
4,SMP 1,Baca Huruf Quran,November - Desember,Al Quran Juz 14
5,SMP 1,Baca Huruf Quran,Januari - Februari,Al Quran Juz 15
6,SMP 1,Baca Huruf Quran,Maret - April,Al Quran Juz 16
7,SMP 1,Baca Huruf Quran,Mei - Juni,Al Quran Juz 17
8,SMP 1,Baca Huruf Quran,Agustus,Al Quran Juz12
9,SMP 1,Materi Dasar Keagamaan,Juni,Aurot
10,SMP 1,Adab/ Tatakrama,Agustus,Bergaul dengan teman
11,SMP 1,Hafalan Surat Al Qur'an,November - Desember,Dalil Wajibnya Berjamaah 1
12,SMP 1,Hafalan Surat Al Qur'an,April - Juni,Dalil Wajibnya Berjamaah 2
13,SMP 1,Materi Dasar Keagamaan,Juli,Dasar Aqidah
14,SMP 1,Baca Huruf Quran,Januari,Hukum Al Ma'rifat
15,SMP 1,Materi Dasar Keagamaan,Mei,"hukum haid, mani, madzi, wadhi"
16,SMP 1,Baca Huruf Quran,Maret,"Hukum Idghom (Mutamatsilain, Mutaqorribain, Mutajanisain)"
17,SMP 1,Baca Huruf Quran,Juli,Hukum Isti'adah dan basmalah
18,SMP 1,Baca Huruf Quran,Februari,Hukum Lam yang terdapat dalam Fi'il
19,SMP 1,Materi Dasar Keagamaan,April,hukum mahrom
20,SMP 1,Baca Huruf Quran,September,Hukum Mim Tasydid dan Nun Tasydid
21,SMP 1,Baca Huruf Quran,Agustus,"Hukum nun sukun, tanwin dan Hukum Mim sukun"
22,SMP 1,Materi Dasar Keagamaan,November,"ilmu manqul, musnad, muttashil"
23,SMP 1,Tulis Huruf Arab,November - Desember,K. Sholah
24,SMP 1,Materi Dasar Keagamaan,Maret,"Kefadholan puasa,dan yang di perbolehkan saat puasa"
25,SMP 1,Akhlaq,September - Oktober,Keluarga
26,SMP 1,Mandiri,September - Oktober,Kemandirian dalam keluarga
27,SMP 1,Mandiri,November - Desember,Kemandirian dalam lingkungan jamaah dan sekolah
28,SMP 1,Mandiri,Juli - Agustus,Kemandirian pribadi
29,SMP 1,Materi Dasar Keagamaan,September,Kemurnian ibadah
30,SMP 1,Mandiri,Januari - Maret,Keterampilan Generus Putra
31,SMP 1,Mandiri,April - Juni,Keterampilan Generus Putri
32,SMP 1,Akhlaq,April - Juni,Lingkungan dan alam sekitar
